"Year","Region","Mean_Temp"
2008,"Middle Delta",19.9802220546793
2008,"West of Crawleys Ridge",19.2115051719308
2008,"Grand Prairie",19.6618346239812
2008,"North Delta",19.0172553463349
2008,"South Delta",20.3506817748202
2008,"White River",18.6113057524277
2009,"Middle Delta",18.7132517254968
2009,"West of Crawleys Ridge",17.9232399222566
2009,"Grand Prairie",18.5384456886848
2009,"North Delta",17.767677777511
2009,"South Delta",19.374626226317
2009,"White River",17.5945901424974
2010,"Middle Delta",20.7614112560637
2010,"West of Crawleys Ridge",19.9222404092651
2010,"Grand Prairie",20.7179366141642
2010,"North Delta",19.4724292899823
2010,"South Delta",21.3345546476921
2010,"White River",19.3017518960305
2011,"Middle Delta",20.9081420804655
2011,"West of Crawleys Ridge",19.8443381958124
2011,"Grand Prairie",20.8407228777323
2011,"North Delta",19.5643556677515
2011,"South Delta",21.686041007996
2011,"White River",19.3127025987242
2012,"Middle Delta",21.5165139020549
2012,"West of Crawleys Ridge",21.0213211638378
2012,"Grand Prairie",21.5589966102571
2012,"North Delta",20.7395778819139
2012,"South Delta",21.9448738818887
2012,"White River",20.629391046923
2013,"Middle Delta",18.9466623528308
2013,"West of Crawleys Ridge",18.213977458127
2013,"Grand Prairie",19.1023311131546
2013,"North Delta",17.7021772256035
2013,"South Delta",19.7202609829452
2013,"White River",17.6793954023226
2014,"Middle Delta",18.4071263841712
2014,"West of Crawleys Ridge",17.9139338134305
2014,"Grand Prairie",18.5760545417166
2014,"North Delta",17.5203558848857
2014,"South Delta",18.9258592912802
2014,"White River",17.5832582150909
2015,"Middle Delta",20.4604078556592
2015,"West of Crawleys Ridge",19.6251174512211
2015,"Grand Prairie",20.3473670423396
2015,"North Delta",19.2490573333721
2015,"South Delta",20.9950920020889
2015,"White River",19.1532672814209
2016,"Middle Delta",21.1494027278572
2016,"West of Crawleys Ridge",20.3835602082617
2016,"Grand Prairie",20.9332700947513
2016,"North Delta",20.1345344359786
2016,"South Delta",21.4730322807473
2016,"White River",19.9479696759164
2017,"Middle Delta",20.7383242166462
2017,"West of Crawleys Ridge",20.0909383456091
2017,"Grand Prairie",20.7712439915564
2017,"North Delta",19.7719107615636
2017,"South Delta",21.0707310153949
2017,"White River",19.8807044019155
2018,"Middle Delta",20.2119244885079
2018,"West of Crawleys Ridge",19.4878323831897
2018,"Grand Prairie",19.9490648142199
2018,"North Delta",19.38001060567
2018,"South Delta",20.6541812132784
2018,"White River",19.11587098152
2019,"Middle Delta",20.0095471766375
2019,"West of Crawleys Ridge",19.2026267113028
2019,"Grand Prairie",19.7365504232521
2019,"North Delta",19.1512980347944
2019,"South Delta",20.4371297419872
2019,"White River",18.9384224691318
2020,"Middle Delta",20.3579992787104
2020,"West of Crawleys Ridge",19.5677221913855
2020,"Grand Prairie",20.1968212547929
2020,"North Delta",19.4233872283674
2020,"South Delta",20.8319944585939
2020,"White River",18.9947692137722
