"extractedcombinelist..i..","COUNTYFP","Year","Yield","meanGPP","yieldgm","gpp_sum_8day"
1,"001",2008,7350,147.3270340846,823.82475,1178.6162726768
2,"003",2008,6560,157.440513559426,735.2776,1259.52410847541
3,"017",2008,6660,135.751772225719,746.4861,1086.01417780575
4,"021",2008,6940,159.189420104857,777.8699,1273.51536083885
5,"031",2008,6320,151.964499938847,708.3772,1215.71599951078
6,"035",2008,6550,148.81450913618,734.15675,1190.51607308944
7,"037",2008,6520,154.738797919901,730.7942,1237.91038335921
8,"041",2008,6540,140.150310850242,733.0359,1121.20248680194
9,"043",2008,6570,164.480730930254,736.39845,1315.84584744203
10,"045",2008,6000,131.138757830982,672.51,1049.11006264785
11,"055",2008,6920,149.746741395595,775.6282,1197.97393116476
12,"063",2008,6010,141.564167063851,673.63085,1132.51333651081
13,"067",2008,6080,136.494023932742,681.4768,1091.95219146193
14,"069",2008,6380,144.641219110985,715.1023,1157.12975288788
15,"073",2008,5350,138.262751884135,599.65475,1106.10201507308
16,"075",2008,6340,134.524070797407,710.6189,1076.19256637925
17,"077",2008,6870,154.398463824898,770.02395,1235.18771059919
18,"079",2008,6360,140.136819683295,712.8606,1121.09455746636
19,"085",2008,6750,151.74993983289,756.57375,1213.99951866312
20,"093",2008,6890,140.856279153368,772.26565,1126.85023322695
21,"095",2008,6870,154.791061496613,770.02395,1238.3284919729
22,"107",2008,6380,151.164776476543,715.1023,1209.31821181234
23,"111",2008,6690,166.543639811738,749.84865,1332.34911849391
24,"117",2008,7340,157.807125432585,822.7039,1262.45700346068
25,"119",2008,6520,142.440355828044,730.7942,1139.52284662435
26,"121",2008,6830,148.439290987795,765.54055,1187.51432790236
27,"123",2008,7020,152.468241767732,786.8367,1219.74593414186
28,"145",2008,6450,145.951979788582,722.94825,1167.61583830865
29,"147",2008,6420,148.191053319762,719.5857,1185.5284265581
1,"001",2009,7350,183.191813228308,823.82475,1465.53450582646
2,"003",2009,5850,171.858308672463,655.69725,1374.86646937971
3,"017",2009,6540,157.527265346121,733.0359,1260.21812276897
4,"021",2009,6920,149.869448188866,775.6282,1198.95558551093
5,"031",2009,6860,160.779810839343,768.9031,1286.23848671475
6,"037",2009,7050,166.811643758463,790.19925,1334.49315006771
7,"041",2009,6690,175.618998180999,749.84865,1404.95198544799
8,"043",2009,6130,191.549371436821,687.08105,1532.39497149457
9,"045",2009,6190,155.305281760234,693.80615,1242.44225408187
10,"055",2009,6820,156.943933428946,764.4197,1255.55146743157
11,"063",2009,6710,159.214870626122,752.09035,1273.71896500898
12,"067",2009,6660,145.495545940854,746.4861,1163.96436752683
13,"069",2009,6590,172.407376426043,738.64015,1379.25901140834
14,"075",2009,6180,158.025626512356,692.6853,1264.20501209885
15,"079",2009,6420,180.780238214816,719.5857,1446.24190571853
16,"085",2009,7020,163.542433828509,786.8367,1308.33947062807
17,"093",2009,7080,122.699346730601,793.5618,981.59477384481
18,"095",2009,6940,168.060234070455,777.8699,1344.48187256364
19,"107",2009,6380,169.784409237806,715.1023,1358.27527390245
20,"111",2009,6960,155.236826796923,780.1116,1241.89461437539
21,"117",2009,7290,170.335348559626,817.09965,1362.68278847701
22,"119",2009,6020,157.903000783272,674.7517,1263.22400626618
23,"121",2009,6700,173.878342491505,750.9695,1391.02673993204
24,"123",2009,6980,173.173594662741,782.3533,1385.38875730193
25,"145",2009,5580,160.614958086072,625.4343,1284.91966468858
26,"147",2009,6620,156.197614561494,742.0027,1249.58091649195
1,"001",2010,7100,162.067487203337,795.8035,1296.5398976267
2,"003",2010,6240,179.173809808172,699.4104,1433.39047846538
3,"017",2010,6700,145.823739543299,750.9695,1166.58991634639
4,"021",2010,6490,148.196938184011,727.43165,1185.57550547209
5,"031",2010,6450,140.193837483923,722.94825,1121.55069987138
6,"035",2010,6300,142.775975573766,706.1355,1142.20780459013
7,"037",2010,6450,149.539293844035,722.94825,1196.31435075228
8,"041",2010,6720,149.279078817094,753.2112,1194.23263053675
9,"043",2010,6790,174.170184609014,761.05715,1393.36147687211
10,"045",2010,6790,133.692176806169,761.05715,1069.53741444935
11,"055",2010,6770,139.331822371895,758.81545,1114.65457897516
12,"063",2010,6690,129.047065052743,749.84865,1032.37652042194
13,"067",2010,6050,121.513432733298,678.11425,972.107461866382
14,"069",2010,6080,164.56495425201,681.4768,1316.51963401608
15,"075",2010,6050,133.26074772158,678.11425,1066.08598177264
16,"077",2010,6650,134.259681490705,745.36525,1074.07745192564
17,"079",2010,6830,172.207930889515,765.54055,1377.66344711612
18,"085",2010,6880,129.347587998344,771.1448,1034.78070398675
19,"093",2010,6640,128.375273553451,744.2444,1027.00218842761
20,"095",2010,6490,151.800163182494,727.43165,1214.40130545995
21,"107",2010,5910,147.213535883161,662.42235,1177.70828706529
22,"111",2010,6160,141.00687517609,690.4436,1128.05500140872
23,"117",2010,7260,139.53305344873,813.7371,1116.26442758984
24,"119",2010,6450,125.524247624429,722.94825,1004.19398099543
25,"121",2010,6430,149.692580719248,720.70655,1197.54064575398
26,"123",2010,6790,144.433062860603,761.05715,1155.46450288483
27,"145",2010,6140,131.295626029435,688.2019,1050.36500823548
