County,COUNTYFP,Yield
FAULKNER,045,"6,550"
ARKANSAS,001,"7,950"
CRITTENDEN,035,"7,100"
CROSS,037,"7,270"
LEE,077,"7,880"
LONOKE,085,"7,910"
MONROE,095,"7,420"
PHILLIPS,107,"7,570"
PRAIRIE,117,"8,040"
SAINT FRANCIS,123,"7,320"
WOODRUFF,147,"7,450"
CLAY,021,"7,810"
CRAIGHEAD,031,"7,510"
GREENE,055,"7,570"
INDEPENDENCE,063,"7,780"
JACKSON,067,"7,250"
LAWRENCE,075,"7,280"
MISSISSIPPI,093,"7,080"
POINSETT,111,"7,600"
RANDOLPH,121,"7,240"
CHICOT,017,"7,620"
DESHA,041,"7,000"
DREW,043,"7,730"
JEFFERSON,069,"7,400"
LINCOLN,079,"7,610"
OTHER COUNTIES,,"7,310"
